TRANSID,EFFORTID,Date,SITE,TRANSECT,TYPE
55535,12119,01-Feb-15,NWFN,A,NTL
55329,12097,01-Feb-15,NWFN,A,NTL
56280,12293,24-Mar-15,NWFN,AA,NTL
56287,12294,24-Mar-15,NWFN,AA,NTL
55536,12119,01-Feb-15,NWFN,B,TL
55330,12097,01-Feb-15,NWFN,B,TL
55544,12120,03-Feb-15,NWFN,C,NTL
55403,12106,03-Feb-15,NWFN,C,NTL
55547,12119,01-Feb-15,NWFN,E,NTL
55332,12097,01-Feb-15,NWFN,E,NTL
55539,12120,03-Feb-15,NWFN,F,NTL
55398,12106,03-Feb-15,NWFN,F,NTL
55422,12109,05-Feb-15,NWFN,G,NTL
55564,12122,05-Feb-15,NWFN,G,NTL
55545,12119,01-Feb-15,NWFN,H,TL
55331,12097,01-Feb-15,NWFN,H,TL
55548,12119,01-Feb-15,NWFN,I,NTL
55333,12097,01-Feb-15,NWFN,I,NTL
55542,12120,03-Feb-15,NWFN,J,NTL
55401,12106,03-Feb-15,NWFN,J,NTL
55424,12109,05-Feb-15,NWFN,K,NTL
55565,12122,05-Feb-15,NWFN,K,NTL
55534,12119,01-Feb-15,NWFN,L,NTL
55328,12097,01-Feb-15,NWFN,L,NTL
55540,12120,03-Feb-15,NWFN,M,NTL
55399,12106,03-Feb-15,NWFN,M,NTL
56363,12307,29-Mar-15,NWFN,N,NTL
56335,12301,29-Mar-15,NWFN,N,NTL
56277,12293,24-Mar-15,NWFN,P,NTL
56283,12294,24-Mar-15,NWFN,P,NTL
56322,12299,26-Mar-15,NWFN,Q,NTL
56328,12300,26-Mar-15,NWFN,Q,NTL
56344,12302,29-Mar-15,NWFN,Q,NTL
56381,12306,29-Mar-15,NWFN,Q,NTL
56341,12302,29-Mar-15,NWFN,R,NTL
56378,12306,29-Mar-15,NWFN,R,NTL
56279,12293,24-Mar-15,NWFN,S,NTL
56286,12294,24-Mar-15,NWFN,S,NTL
56342,12302,29-Mar-15,NWFN,T,NTL
56379,12306,29-Mar-15,NWFN,T,NTL
56323,12299,26-Mar-15,NWFN,V,NTL
56329,12300,26-Mar-15,NWFN,V,NTL
56282,12293,24-Mar-15,NWFN,W,NTL
56289,12294,24-Mar-15,NWFN,W,NTL
56321,12299,26-Mar-15,NWFN,X,NTL
56327,12300,26-Mar-15,NWFN,X,NTL
56343,12302,29-Mar-15,NWFN,Y,NTL
56380,12306,29-Mar-15,NWFN,Y,NTL
56340,12302,29-Mar-15,NWFN,Z,NTL
56377,12306,29-Mar-15,NWFN,Z,NTL
55687,12148,12-Feb-15,NWFN,A,NTL
55690,12149,12-Feb-15,NWFN,A,NTL
56402,12313,31-Mar-15,NWFN,AA,NTL
56390,12311,31-Mar-15,NWFN,AA,NTL
55538,12120,03-Feb-15,NWFN,B,TL
